"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"MountingHole_3.2mm_M3_Pad";1;"MountingHole_3.2mm_M3_Pad";;;
2;"U1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATmega328P-AU";;;
3;"C9,C5,C10,C3,C4";"C_0805_HandSoldering";5;"0.1uf";;;
4;"I2C";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"I2C Bus";;;
5;"J7";"JST_PH_B2B-PH-K_02x2.00mm_Straight";1;"Power Connector";;;
6;"J4";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Analog Connector";;;
7;"J2";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Digital Connector";;;
8;"FTDI";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"FTDI";;;
9;"ICSP";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"ICSP";;;
10;"RFM69";"HOPERF-RFM69HW";1;"RFM69W";;;
11;"ANT1";"CONN-RF-UFL";1;"Conn_Coaxial";;;
12;"Y1";"ResTest";1;"Resonator";;;
13;"R4";"R_0805_HandSoldering";1;"330";;;
14;"C1,C2";"C_0805_HandSoldering";2;"0.1uF";;;
15;"D1";"LED_0805_HandSoldering";1;"LED";;;
16;"R1,R2";"R_0805_HandSoldering";2;"4k7";;;
17;"R3";"R_0805_HandSoldering";1;"10k";;;
18;"C6";"C_0805_HandSoldering";1;"10uf";;;
